,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2023,ASSAULT_RATE_2023,AUTOTHEFT_2023,AUTOTHEFT_RATE_2023,BIKETHEFT_2023,BIKETHEFT_RATE_2023,BREAKENTER_2023,BREAKENTER_RATE_2023,HOMICIDE_2023,HOMICIDE_RATE_2023,ROBBERY_2023,ROBBERY_RATE_2023,SHOOTING_2023,SHOOTING_RATE_2023,THEFTFROMMV_2023,THEFTFROMMV_RATE_2023,THEFTOVER_2023,THEFTOVER_RATE_2023,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
34,Not an NIA or Emerging Neighbourhood,,Toronto C04,2,2050,11,2591,12,4001,1,3500,1,1600,18,2516,17,3346,1,3400,0,0,23,2616,26,3208,2,4600,5,1930,17,2530,17,3395,3,2983,0.0006167085381976,0.1294766553660257,11,51,206.302337646484,228,922.292785644531,7.0,28.3160057067871,122,493.507537841797,,,12.0,48.5417251586914,,,71,287.205200195313,13.0,52.5868682861328,73,360.67123287671234,983,2.193649619486584,2.192297610831714,15
35,Neighbourhood Improvement Area,NIA,Toronto W04,1,1950,29,2430,30,2795,14,3149,2,2075,56,2400,29,2945,2,3375,2,1975,31,2315,26,2731,4,3313,1,1800,37,2286,27,2715,2,3550,0.0002378108843681,0.0769200516228141,6,124,854.995544433594,55,379.231872558594,3.0,20.685375213623,31,213.748886108398,,,7.0,48.2658767700195,2.0,13.7902498245239,32,220.643997192383,7.0,48.2658767700195,50,464.4,874,0.934866042536453,0.9346437740739711,11
36,Not an NIA or Emerging Neighbourhood,,Toronto W06,2,2050,180,2616,97,3463,4,7775,4,1994,214,2644,134,3590,4,5160,2,1900,234,2594,135,3437,2,4275,1,1900,210,2514,156,3111,5,5074,0.0003885059558912,0.1197633784575644,15,168,1339.072265625,38,302.885375976563,9.0,71.7360076904297,38,302.885375976563,,,16.0,127.530685424805,1.0,7.97066783905029,36,286.944030761719,5.0,39.8533401489258,39,379.84615384615387,983,0.5557651022603011,0.5555492680608684,8
37,Not an NIA or Emerging Neighbourhood,,Toronto C04,2,2050,11,2591,12,4001,1,3500,1,1600,18,2516,17,3346,1,3400,0,0,23,2616,26,3208,2,4600,5,1930,17,2530,17,3395,3,2983,0.000255906843336,0.0721961136646589,8,32,196.548126220703,82,503.654571533203,6.0,36.8527717590332,33,202.690246582031,,,6.0,36.8527717590332,,,33,202.690246582031,7.0,42.9949035644531,38,325.7105263157895,896,0.7858746047269104,0.7856735454899914,8
38,Neighbourhood Improvement Area,NIA,Toronto W01,1,2200,106,2508,47,3254,6,3925,2,2713,83,2598,39,3572,7,4000,0,0,64,2594,43,3598,6,3989,3,2063,95,2552,73,3135,2,3919,0.00025519598095,0.1255423635053433,19,321,1279.19018554688,43,171.355697631836,30.0,119.550491333008,63,251.056030273438,,,22.0,87.6703567504883,,,34,135.49055480957,21.0,83.6853408813477,41,583.2439024390244,2395,0.972589444525214,0.9723413069315736,12
39,Neighbourhood Improvement Area,NIA,Toronto C11,2,1825,36,2381,15,2921,3,4350,4,1884,37,2414,38,3328,6,3317,1,1900,60,2405,48,3153,8,3222,2,1800,79,2348,53,3046,4,2980,0.0002763241278599,0.0963647259790306,9,167,653.620361328125,38,148.727981567383,6.0,23.4833660125732,24,93.933464050293,,,12.0,46.9667320251465,4.0,15.6555776596069,49,191.780822753906,5.0,19.5694713592529,45,494.4,1457,1.0210613343105237,1.0207792683694537,11
40,Not an NIA or Emerging Neighbourhood,,Toronto C08,89,2171,840,2557,356,3390,31,4228,207,2296,1439,2652,700,3630,80,5844,199,2095,1346,2512,675,3470,89,4420,119,2080,909,2486,438,3325,27,4119,0.0001582919168619,0.0630090923664356,8,133,1064.51098632813,19,152.072998046875,31.0,248.119094848633,53,424.20361328125,,,14.0,112.053787231445,1.0,8.00384140014648,46,368.176727294922,6.0,48.0230522155762,24,379.4166666666667,665,0.6550415812625167,0.6549379098853354,8
41,Not an NIA or Emerging Neighbourhood,,Toronto C01,124,2173,1422,2642,598,3715,64,4436,259,2330,2105,2799,959,4006,150,5284,260,2151,2137,2665,941,3756,131,5519,148,2124,1635,2589,703,3714,73,5334,0.0001549185395743,0.0580852772979844,2,144,1146.31433105469,18,143.289291381836,58.0,461.709930419922,36,286.578582763672,,,28.0,222.894439697266,1.0,7.96051597595215,39,310.460113525391,7.0,55.7236099243164,30,457.1333333333333,984,0.8287390211890567,0.8286106540366576,9
42,Neighbourhood Improvement Area,NIA,Toronto W05,3,1900,45,2433,21,2933,2,3200,1,1900,45,2473,24,2959,1,3500,2,1675,46,2429,20,2750,1,3500,3,1682,31,2384,17,2683,2,3275,0.0005757884638886,0.1234441539694844,20,325,998.249206542969,120,368.584320068359,5.0,15.3576803207397,43,132.076049804688,,,31.0,95.2176208496094,14.0,43.0015068054199,53,162.791412353516,27.0,82.9314727783203,76,399.1184210526316,1141,1.5377619387300658,1.536877022669997,12
43,Not an NIA or Emerging Neighbourhood,,Toronto C04,2,2050,11,2591,12,4001,1,3500,1,1600,18,2516,17,3346,1,3400,0,0,23,2616,26,3208,2,4600,5,1930,17,2530,17,3395,3,2983,4.49135567449661e-05,0.0272771598353811,3,105,550.083801269531,18,94.3000869750977,22.0,115.255661010742,31,162.405700683594,,,14.0,73.3445129394531,,,40,209.555740356445,7.0,36.6722564697266,9,532.8888888888889,1692,0.0852684561615096,0.0852646266238634,2
