,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2022,ASSAULT_RATE_2022,AUTOTHEFT_2022,AUTOTHEFT_RATE_2022,BIKETHEFT_2022,BIKETHEFT_RATE_2022,BREAKENTER_2022,BREAKENTER_RATE_2022,HOMICIDE_2022,HOMICIDE_RATE_2022,ROBBERY_2022,ROBBERY_RATE_2022,SHOOTING_2022,SHOOTING_RATE_2022,THEFTFROMMV_2022,THEFTFROMMV_RATE_2022,THEFTOVER_2022,THEFTOVER_RATE_2022,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
0,Neighbourhood Improvement Area,NIA,Toronto E04,0,0,12,2095,15,2545,3,2683,0,0,22,2170,22,2509,2,2725,0,0,17,1903,20,2411,0,0,0,0,13,1890,25,2275,2,2400,0.000400112291548,0.0813556404377031,8,224,1231.51354980469,53,291.384918212891,8.0,43.9826278686523,43,236.406616210938,,,26.0,142.943542480469,3.0,16.4934844970703,95,522.293701171875,5.0,27.4891414642334,72,509.4583333333333,3218,2.5075274279857283,2.506524536709524,29
1,Emerging Neighbourhood,EN,Toronto W05,3,1888,33,2314,17,2614,3,2933,0,0,73,2313,45,2652,3,3467,2,1600,98,2137,61,2507,0,0,7,1557,24,2022,12,2386,2,2775,0.0004102329276689,0.121759326101778,13,88,320.396118164063,84,305.832672119141,4.0,14.5634603500366,31,112.866813659668,,,14.0,50.972110748291,,,137,498.798522949219,11.0,40.0495147705078,36,473.8333333333333,716,0.7386626182776411,0.7383597188085215,8
2,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,9.024360837777196e-05,0.0423642726248316,9,539,2594.46459960938,44,211.793014526367,175.0,842.358581542969,110,529.482543945313,,,76.0,365.824310302734,3.0,14.4404335021973,81,389.891693115234,19.0,91.4560775756836,27,533.1481481481482,1259,0.5647055599478332,0.5646546034789282,15
3,Neighbourhood Improvement Area,NIA,Toronto W05,3,1888,33,2314,17,2614,3,2933,0,0,73,2313,45,2652,3,3467,2,1600,98,2137,61,2507,0,0,7,1557,24,2022,12,2386,2,2775,0.0005757884638886,0.1234441539694844,20,271,855.888549804688,155,489.530364990234,5.0,15.7913017272949,34,107.380851745605,3.0,9.47478103637695,29.0,91.5895538330078,9.0,28.4243431091309,81,255.819091796875,11.0,34.7408638000488,76,399.1184210526316,1141,1.5377619387300658,1.536877022669997,12
4,Not an NIA or Emerging Neighbourhood,,Toronto C15,11,2018,284,2463,137,3005,13,4112,17,2000,433,2380,209,3042,20,3788,7,1793,345,2189,151,2789,8,3306,12,1681,380,2054,181,2610,16,3099,0.0004711586481089,0.0884970426216644,14,116,401.550811767578,70,242.315155029297,4.0,13.8465795516968,31,107.310997009277,,,29.0,100.387702941895,2.0,6.92328977584839,80,276.931610107422,11.0,38.0780944824219,55,362.6,1046,1.4249810753024863,1.4243099993287147,15
5,Not an NIA or Emerging Neighbourhood,,Toronto E10,0,0,5,2150,3,2500,1,2950,0,0,8,2141,5,2980,1,3200,0,0,5,1965,4,2199,0,0,0,0,12,1850,5,2110,0,0,0.0005870159819784,0.1111307936943024,8,60,439.657073974609,44,322.415191650391,3.0,21.982852935791,14,102.586647033691,,,2.0,14.6552352905273,,,35,256.466613769531,2.0,14.6552352905273,56,367.6607142857143,1210,1.098504200612343,1.097859739399345,13
6,Not an NIA or Emerging Neighbourhood,,Toronto C14,5,2130,261,2514,204,3124,19,3804,8,2029,360,2420,256,3076,22,3759,8,1828,273,2237,228,2890,11,3529,5,1768,229,2081,174,2716,7,3150,5.275241670204878e-05,0.0468552166092367,6,74,337.992156982422,42,191.833374023438,30.0,137.023849487305,17,77.646842956543,,,9.0,41.1071510314941,,,71,324.289764404297,12.0,54.8095359802246,12,329.6666666666667,874,0.3242389640346258,0.3242218605479343,9
7,Not an NIA or Emerging Neighbourhood,,Toronto W02,3,1867,42,2383,13,3264,6,3486,3,1825,82,2277,61,2945,1,4300,2,1613,69,2176,29,2796,0,0,0,0,30,2092,22,2957,1,3750,0.0002481541778932,0.0825913792875547,19,138,541.728820800781,47,184.501846313477,34.0,133.469421386719,56,219.831985473633,,,20.0,78.5114212036133,3.0,11.7767133712769,63,247.310989379883,8.0,31.4045696258545,61,320.0163934426229,847,1.4497619263327337,1.449402251108673,9
8,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,0.0001270240860146,0.0789653473550408,17,265,850.585754394531,27,86.663459777832,92.0,295.297698974609,58,186.165939331055,,,31.0,99.5024871826172,3.0,9.62927341461182,60,192.585464477539,15.0,48.1463661193848,15,590.6,1037,0.2257045249100818,0.2256758586404024,5
9,Not an NIA or Emerging Neighbourhood,,Toronto C13,2,1965,37,2320,43,2950,4,3488,1,1800,47,2303,48,2899,4,2875,2,1925,34,2079,44,2732,7,3343,1,1700,43,1961,35,2447,4,2763,0.0003706995865721,0.1154747579276692,10,103,467.565490722656,37,167.960418701172,3.0,13.6184120178223,11,49.9341773986816,,,9.0,40.8552360534668,3.0,13.6184120178223,59,267.828765869141,2.0,9.07894134521484,48,319.7083333333333,836,0.6925455279135905,0.6922888967057931,11
10,Not an NIA or Emerging Neighbourhood,,Toronto E03,1,1495,27,1816,5,2283,0,0,6,1620,18,1779,9,2664,2,3125,3,1532,15,1812,8,2200,0,0,2,1523,9,1776,7,2143,2,2388,0.0002624534893918,0.0841883910502298,5,68,712.191040039063,22,230.414749145508,7.0,73.3137817382813,22,230.414749145508,,,7.0,73.3137817382813,2.0,20.9467945098877,27,282.78173828125,1.0,10.4733972549438,58,301.2068965517241,1227,0.3736820567821307,0.3735840083555568,9
11,Not an NIA or Emerging Neighbourhood,,Toronto C09,0,0,19,2932,23,4017,1,6300,0,0,25,2709,26,3925,3,5757,0,0,22,2559,24,4234,2,4325,1,1500,14,2636,16,3603,2,4500,0.0003455488563166,0.1206964276701942,9,54,311.526489257813,64,369.216583251953,12.0,69.2281036376953,28,161.532241821289,,,4.0,23.0760364532471,1.0,5.76900911331177,44,253.836395263672,6.0,34.6140518188477,40,419.65,1383,0.6217538711121368,0.6215390989873256,12
12,Not an NIA or Emerging Neighbourhood,,Toronto E04,0,0,12,2095,15,2545,3,2683,0,0,22,2170,22,2509,2,2725,0,0,17,1903,20,2411,0,0,0,0,13,1890,25,2275,2,2400,0.0011473405805557,0.1441978482283885,15,212,709.101257324219,130,434.826232910156,12.0,40.1378059387207,75,250.861297607422,1.0,3.34481716156006,40.0,133.792694091797,5.0,16.7240867614746,141,471.619232177734,22.0,73.5859756469727,147,331.2040816326531,778,1.7803941357935438,1.7783537583599935,14
13,Not an NIA or Emerging Neighbourhood,,Toronto C03,2,1275,44,2422,25,3257,1,3950,2,2050,66,2330,46,3090,5,5130,1,1650,49,2157,31,2847,2,3145,2,1655,41,1975,36,2797,3,4800,0.0001843569521967,0.0590426359253599,8,122,904.843139648438,34,252.169403076172,14.0,103.834457397461,33,244.752655029297,1.0,7.41674709320068,4.0,29.6669883728027,1.0,7.41674709320068,34,252.169403076172,6.0,44.5004806518555,53,489.2641509433962,1689,1.526233697228457,1.5259523772989805,18
14,Neighbourhood Improvement Area,NIA,Toronto E09,0,2093,89,2419,54,2881,3,3483,10,2130,117,2434,94,2980,8,3519,4,1913,110,2140,72,2710,12,3158,3,1692,75,2063,39,2581,5,2790,0.0006419780494767,0.141448630814072,12,125,672.223693847656,52,279.645080566406,1.0,5.37778949737549,11,59.1556854248047,1.0,5.37778949737549,15.0,80.6668472290039,7.0,37.6445274353027,110,591.556884765625,3.0,16.1333694458008,36,390.1111111111111,1257,1.2270306618188054,1.2262434404467235,10
15,Not an NIA or Emerging Neighbourhood,,Toronto C03,2,1275,44,2422,25,3257,1,3950,2,2050,66,2330,46,3090,5,5130,1,1650,49,2157,31,2847,2,3145,2,1655,41,1975,36,2797,3,4800,0.0002089795651397,0.0619426144221998,8,39,263.246704101563,56,377.995269775391,23.0,155.248062133789,32,215.997299194336,,,5.0,33.7495765686035,1.0,6.749915599823,38,256.496795654297,2.0,13.499831199646,18,337.8888888888889,604,1.0851261875761076,1.0848994657575333,8
16,Not an NIA or Emerging Neighbourhood,,Toronto C12,0,0,4,2828,8,4400,0,0,0,0,9,2806,13,3757,1,2400,0,0,11,2372,6,3042,7,3050,0,0,8,1806,14,3013,3,2300,0.0009878342304107,0.1696715516475727,15,35,325.581390380859,60,558.139526367188,3.0,27.9069766998291,45,418.604644775391,,,3.0,27.9069766998291,1.0,9.30232524871826,16,148.837203979492,6.0,55.8139533996582,73,265.6027397260274,911,1.247434698564548,1.246203655935152,14
17,Not an NIA or Emerging Neighbourhood,,Toronto C04,1,1950,15,2456,10,2982,5,3157,2,1700,30,2242,17,3775,2,5600,2,1548,29,2174,25,3193,2,4700,4,1692,16,2181,36,2646,2,5460,4.49135567449661e-05,0.0272771598353811,3,136,765.938293457031,10,56.3189926147461,12.0,67.5827865600586,48,270.331146240234,,,12.0,67.5827865600586,1.0,5.63189888000488,24,135.165573120117,4.0,22.5275955200195,9,532.8888888888889,1692,0.0852684561615096,0.0852646266238634,2
