,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2022,ASSAULT_RATE_2022,AUTOTHEFT_2022,AUTOTHEFT_RATE_2022,BIKETHEFT_2022,BIKETHEFT_RATE_2022,BREAKENTER_2022,BREAKENTER_RATE_2022,HOMICIDE_2022,HOMICIDE_RATE_2022,ROBBERY_2022,ROBBERY_RATE_2022,SHOOTING_2022,SHOOTING_RATE_2022,THEFTFROMMV_2022,THEFTFROMMV_RATE_2022,THEFTOVER_2022,THEFTOVER_RATE_2022,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
18,Not an NIA or Emerging Neighbourhood,,Toronto C13,2,1965,37,2320,43,2950,4,3488,1,1800,47,2303,48,2899,4,2875,2,1925,34,2079,44,2732,7,3343,1,1700,43,1961,35,2447,4,2763,0.000463572880693,0.1228416313726124,11,67,454.823150634766,37,251.171005249023,,,18,122.191299438477,,,7.0,47.5188369750977,2.0,13.576810836792,28,190.075347900391,1.0,6.788405418396,43,330.5581395348837,903,0.6098296289945557,0.6095470595082615,11
19,Neighbourhood Improvement Area,NIA,Toronto W04,1,1650,24,2285,41,2675,6,3392,0,0,44,2218,47,2651,9,3015,2,1500,50,2066,24,2467,7,2807,2,1650,43,1929,25,2333,6,2733,0.0002342177680656,0.0621422667519664,9,82,806.451599121094,36,354.051940917969,1.0,9.83477592468262,10,98.3477554321289,,,4.0,39.3391036987305,1.0,9.83477592468262,26,255.704162597656,5.0,49.1738777160645,23,328.4782608695652,734,0.3712362305616256,0.3711493008007729,4
20,Neighbourhood Improvement Area,NIA,Toronto W03,1,1500,2,2025,2,2723,1,3150,3,1508,8,2073,5,3010,0,0,3,1417,7,1878,2,2200,0,0,2,1428,6,1762,3,2375,1,2800,0.0001625554842258,0.0602823366104354,8,100,863.557861328125,29,250.431777954102,3.0,25.9067363739014,14,120.898101806641,,,11.0,94.9913635253906,4.0,34.5423126220703,17,146.804840087891,3.0,25.9067363739014,24,414.75,618,0.3412998787472153,0.3412444075972989,7
21,Not an NIA or Emerging Neighbourhood,,Toronto E09,0,2093,89,2419,54,2881,3,3483,10,2130,117,2434,94,2980,8,3519,4,1913,110,2140,72,2710,12,3158,3,1692,75,2063,39,2581,5,2790,0.0005493584040932,0.0953407478394053,9,166,813.565979003906,84,411.683990478516,6.0,29.4059982299805,24,117.623992919922,2.0,9.80200004577637,54.0,264.653991699219,7.0,34.306999206543,69,338.168975830078,13.0,63.7129974365234,84,429.9404761904762,2743,2.254603629923172,2.253365724524909,23
22,Neighbourhood Improvement Area,NIA,Toronto E10,0,0,5,2150,3,2500,1,2950,0,0,8,2141,5,2980,1,3200,0,0,5,1965,4,2199,0,0,0,0,12,1850,5,2110,0,0,0.001076222736467,0.1655804804431421,22,382,1264.23083496094,60,198.570297241211,17.0,56.2615814208984,45,148.927719116211,1.0,3.30950498580933,63.0,208.498809814453,7.0,23.1665344238281,148,489.806732177734,13.0,43.0235633850098,69,425.8840579710145,775,1.776628005639414,1.774718013762186,10
23,Neighbourhood Improvement Area,NIA,Toronto W05,3,1888,33,2314,17,2614,3,2933,0,0,73,2313,45,2652,3,3467,2,1600,98,2137,61,2507,0,0,7,1557,24,2022,12,2386,2,2775,0.0007470865300792,0.1370587541967818,13,309,1344.76452636719,106,461.310821533203,14.0,60.9278450012207,50,217.59944152832,2.0,8.70397758483887,39.0,169.727569580078,7.0,30.4639225006104,105,456.958831787109,19.0,82.6877899169922,85,495.6588235294118,1151,3.434387791620652,3.4318239221947766,18
24,Neighbourhood Improvement Area,NIA,Toronto W10,0,0,15,2324,13,2682,6,2906,0,0,24,2286,12,2635,3,2617,0,0,24,2009,18,2453,2,2725,0,0,24,1907,22,2337,0,0,0.0005184577716364,0.1388797450934194,21,262,783.797546386719,119,355.999633789063,8.0,23.9327487945557,26,77.7814331054688,1.0,2.99159359931946,54.0,161.546051025391,6.0,17.9495620727539,84,251.293869018555,18.0,53.8486862182617,58,368.6724137931034,597,1.5355023559195455,1.5347066753165457,13
25,Not an NIA or Emerging Neighbourhood,,Toronto E09,0,2093,89,2419,54,2881,3,3483,10,2130,117,2434,94,2980,8,3519,4,1913,110,2140,72,2710,12,3158,3,1692,75,2063,39,2581,5,2790,0.0002843197309595,0.0812099751144654,5,39,343.400543212891,22,193.713134765625,3.0,26.4154262542725,8,70.4411392211914,,,5.0,44.0257110595703,1.0,8.80514240264893,28,246.543975830078,1.0,8.80514240264893,30,320.53333333333336,681,0.7348972711192121,0.7346883847153306,16
26,Not an NIA or Emerging Neighbourhood,,Toronto E02,0,0,12,2361,10,3259,2,5725,2,1700,23,2215,16,3178,1,5750,4,1662,10,2309,12,3016,0,0,2,1675,17,2116,10,2690,0,0,0.0001870212907072,0.0708093237535877,9,113,753.534301757813,23,153.374237060547,32.0,213.390243530273,35,233.395568847656,1.0,6.66844511032104,32.0,213.390243530273,1.0,6.66844511032104,40,266.73779296875,7.0,46.6791152954102,39,425.1025641025641,1111,0.5647259688188748,0.5646203727879964,10
27,Neighbourhood Improvement Area,NIA,Toronto C11,4,1708,38,2202,19,3013,6,2850,1,1600,40,2222,45,2749,8,2914,2,1625,39,2031,30,2694,11,2773,5,1485,32,1916,30,2542,10,2938,0.0002763241278599,0.0963647259790306,9,140,576.440063476563,22,90.5834426879883,4.0,16.4697170257568,22,90.5834426879883,,,13.0,53.5265769958496,1.0,4.11742925643921,27,111.170585632324,1.0,4.11742925643921,45,494.4,1457,1.0210613343105237,1.0207792683694537,11
28,Neighbourhood Improvement Area,NIA,Toronto W03,1,1500,2,2025,2,2723,1,3150,3,1508,8,2073,5,3010,0,0,3,1417,7,1878,2,2200,0,0,2,1428,6,1762,3,2375,1,2800,0.0005662071995637,0.1294151519909053,21,174,745.916748046875,62,265.786437988281,7.0,30.0081443786621,33,141.46696472168,,,19.0,81.4506759643555,7.0,30.0081443786621,59,252.925796508789,12.0,51.4425354003906,99,310.26262626262627,747,1.0642366773228702,1.0636344398453257,20
29,Not an NIA or Emerging Neighbourhood,,Toronto E03,1,1495,27,1816,5,2283,0,0,6,1620,18,1779,9,2664,2,3125,3,1532,15,1812,8,2200,0,0,2,1523,9,1776,7,2143,2,2388,0.0005447554891766,0.1211534366574411,10,161,808.963928222656,42,211.034072875977,7.0,35.1723442077637,47,236.157165527344,,,8.0,40.196964263916,3.0,15.0738620758057,42,211.034072875977,9.0,45.2215843200684,83,264.26506024096386,711,0.5090908075280699,0.5088136285109707,7
30,Not an NIA or Emerging Neighbourhood,,Toronto W02,3,1867,42,2383,13,3264,6,3486,3,1825,82,2277,61,2945,1,4300,2,1613,69,2176,29,2796,0,0,0,0,30,2092,22,2957,1,3750,0.0002938368696787,0.084585752975484,12,113,746.317932128906,46,303.810852050781,10.0,66.0458374023438,56,369.856689453125,,,23.0,151.905426025391,,,43,283.997100830078,13.0,85.8595886230469,78,386.9358974358975,1130,0.9670034457346276,0.9667193879358188,14
31,Not an NIA or Emerging Neighbourhood,,Toronto E11,0,0,9,2139,7,2546,2,2950,0,0,6,2233,18,2530,1,3000,0,0,10,2010,10,2445,0,0,0,0,8,1956,13,2288,1,2250,0.0032406744325928,0.272709654377882,21,101,380.672393798828,132,497.512451171875,2.0,7.53806734085083,24,90.4568099975586,,,27.0,101.76390838623,2.0,7.53806734085083,55,207.296844482422,14.0,52.766471862793,133,348.62406015037595,1620,2.4545656243983096,2.446636870845123,19
32,Emerging Neighbourhood,EN,Toronto E05,0,0,26,2362,18,2794,7,2978,3,1813,36,2263,34,2753,5,2850,0,0,32,2183,23,2543,7,2701,0,0,13,1923,28,2459,5,2520,0.0004133015482761,0.0915315082855368,9,77,337.334625244141,46,201.52458190918,3.0,13.1429071426392,24,105.143257141113,,,7.0,30.666784286499,2.0,8.76193809509277,35,153.333923339844,11.0,48.1906585693359,52,323.46153846153845,796,1.031895009264092,1.0314687016527004,10
33,Not an NIA or Emerging Neighbourhood,,Toronto E05,0,0,26,2362,18,2794,7,2978,3,1813,36,2263,34,2753,5,2850,0,0,32,2183,23,2543,7,2701,0,0,13,1923,28,2459,5,2520,0.0004569404073396,0.0859517036321604,18,88,513.5087890625,62,361.790283203125,10.0,58.353271484375,38,221.742431640625,,,10.0,58.353271484375,4.0,23.34130859375,48,280.095703125,11.0,64.1885986328125,82,367.5,1350,1.1572873803837227,1.15675881054164,15
34,Neighbourhood Improvement Area,NIA,Toronto W04,1,1650,24,2285,41,2675,6,3392,0,0,44,2218,47,2651,9,3015,2,1500,50,2066,24,2467,7,2807,2,1650,43,1929,25,2333,6,2733,0.0002378108843681,0.0769200516228141,6,119,845.771118164063,39,277.185485839844,4.0,28.4292812347412,24,170.575698852539,,,7.0,49.7512435913086,2.0,14.2146406173706,38,270.078186035156,5.0,35.5366020202637,50,464.4,874,0.934866042536453,0.9346437740739711,11
35,Not an NIA or Emerging Neighbourhood,,Toronto C06,1,2200,21,2364,20,2863,0,0,2,1800,31,2107,42,2712,3,3367,1,1625,35,2060,30,2536,0,0,0,0,39,1982,22,2341,1,3600,0.0005323079903228,0.1558937908692444,10,55,323.853271484375,78,459.282806396484,8.0,47.1059303283691,24,141.317794799805,,,18.0,105.988342285156,1.0,5.88824129104614,96,565.271179199219,7.0,41.2176895141602,56,324.94642857142856,1122,0.745842312317411,0.7454455057183668,13
36,Not an NIA or Emerging Neighbourhood,,Toronto W02,3,1867,42,2383,13,3264,6,3486,3,1825,82,2277,61,2945,1,4300,2,1613,69,2176,29,2796,0,0,0,0,30,2092,22,2957,1,3750,0.0002101054397706,0.0714923006476597,9,138,588.285461425781,37,157.728713989258,34.0,144.939895629883,32,136.414016723633,1.0,4.26293802261353,18.0,76.7328872680664,,,55,234.46159362793,6.0,25.5776271820068,53,443.2075471698113,1080,2.289831925598608,2.289350920516663,23
37,Not an NIA or Emerging Neighbourhood,,Toronto C15,11,2018,284,2463,137,3005,13,4112,17,2000,433,2380,209,3042,20,3788,7,1793,345,2189,151,2789,8,3306,12,1681,380,2054,181,2610,16,3099,0.0005769825501342,0.1008434704889677,21,119,473.6318359375,61,242.786071777344,7.0,27.8606967926025,30,119.402984619141,,,10.0,39.8009948730469,5.0,19.9004974365234,68,270.646759033203,6.0,23.8805961608887,51,254.4313725490196,656,1.0748097791890487,1.0741899903091114,9
38,Not an NIA or Emerging Neighbourhood,,Toronto C01,139,2122,1247,2662,535,3751,51,4825,295,2107,2216,2637,1076,3617,136,4969,282,1878,2347,2373,1126,3305,127,4471,164,1763,1796,2227,728,3197,67,4612,0.0001602093188019,0.0551340797018769,4,84,602.064208984375,27,193.520645141602,31.0,222.190368652344,36,258.027526855469,1.0,7.16743135452271,11.0,78.8417434692383,,,35,250.860092163086,8.0,57.3394508361816,33,384.1212121212121,866,0.7199837054809874,0.719868375858864,6
39,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,0.0001093262154122,0.0471055044085725,7,443,1474.0625,69,229.594390869141,111.0,369.347473144531,127,422.586761474609,2.0,6.65490961074829,55.0,183.010009765625,8.0,26.6196384429932,77,256.214019775391,22.0,73.2040100097656,26,624.3076923076923,857,0.6768013158935496,0.6767273318554919,9
40,Not an NIA or Emerging Neighbourhood,,Toronto C08,103,2151,657,2523,312,3419,17,4221,172,2131,1159,2533,287,3456,57,4461,193,1820,1208,2245,682,3059,63,3779,100,1728,943,2134,430,2980,31,3504,0.001262352769321,0.2148326680189354,24,393,1140.65124511719,39,113.194404602051,124.0,359.900146484375,127,368.607421875,2.0,5.80484104156494,32.0,92.8774566650391,5.0,14.5121030807495,100,290.242065429688,23.0,66.7556762695313,53,428.3962264150944,1692,0.5956261527750548,0.5948752104057987,16
41,Not an NIA or Emerging Neighbourhood,,Toronto C15,11,2018,284,2463,137,3005,13,4112,17,2000,433,2380,209,3042,20,3788,7,1793,345,2189,151,2789,8,3306,12,1681,380,2054,181,2610,16,3099,0.0004574525065505,0.0878335420701092,12,39,292.551208496094,14,105.018379211426,,,10,75.0131301879883,,,2.0,15.0026254653931,,,19,142.524948120117,4.0,30.0052509307861,41,273.9512195121951,821,0.4205567227738736,0.420364426013529,6
42,Emerging Neighbourhood,EN,Toronto W04,1,1650,24,2285,41,2675,6,3392,0,0,44,2218,47,2651,9,3015,2,1500,50,2066,24,2467,7,2807,2,1650,43,1929,25,2333,6,2733,0.0006746504559161,0.1060181546322705,17,179,958.911437988281,196,1049.98120117188,18.0,96.4268493652344,59,316.065795898438,1.0,5.35704708099365,32.0,171.425506591797,7.0,37.4993286132813,130,696.416137695313,40.0,214.281890869141,131,347.44274809160305,848,3.378361780950369,3.376084104270212,12
43,Neighbourhood Improvement Area,NIA,Toronto E08,0,0,5,2129,8,2654,1,2700,0,0,12,2279,21,2573,2,2738,1,1625,4,2200,19,2376,4,2788,1,1650,12,1940,25,2335,3,2500,0.0003522115690398,0.0822984162446096,10,156,874.488464355469,25,140.142379760742,9.0,50.4512596130371,20,112.113906860352,,,9.0,50.4512596130371,1.0,5.60569524765015,51,285.890472412109,8.0,44.8455619812012,30,649.8,1189,1.0244227127568153,1.024062026263751,10
44,Not an NIA or Emerging Neighbourhood,,Toronto C02,14,2123,97,2626,63,4682,6,17440,14,2186,204,2743,98,4026,12,4889,14,1816,200,2435,110,3789,13,5461,12,1815,123,2513,104,4340,14,4563,0.0001878122306184,0.0594683475871052,11,79,536.903625488281,34,231.072448730469,16.0,108.739974975586,28,190.294952392578,,,6.0,40.7774925231934,1.0,6.79624843597412,25,169.906204223633,9.0,61.1662368774414,51,347.1372549019608,986,0.5790672662200324,0.5789585307269409,8
45,Not an NIA or Emerging Neighbourhood,,Toronto W08,2,1888,103,2391,88,2935,5,2941,0,0,130,2303,130,2864,7,3436,1,1650,127,2131,111,2716,5,3030,1,1650,124,2060,78,2528,7,3264,0.0009651222105199,0.1658225598189248,13,59,302.765960693359,91,466.977996826172,,,18,92.369270324707,,,13.0,66.7111434936523,1.0,5.13162612915039,60,307.897583007813,3.0,15.3948783874512,66,188.2878787878788,462,1.4205524477190818,1.419182762913807,9
46,Not an NIA or Emerging Neighbourhood,,Toronto E03,1,1495,27,1816,5,2283,0,0,6,1620,18,1779,9,2664,2,3125,3,1532,15,1812,8,2200,0,0,2,1523,9,1776,7,2143,2,2388,0.0001949822201202,0.0752698546973677,8,60,511.945404052734,15,127.986351013184,24.0,204.77815246582,17,145.051193237305,1.0,8.53242301940918,2.0,17.0648460388184,2.0,17.0648460388184,33,281.569976806641,3.0,25.5972690582275,32,642.78125,1550,0.5485336038568961,0.548426670407127,8
47,Not an NIA or Emerging Neighbourhood,,Toronto W02,3,1867,42,2383,13,3264,6,3486,3,1825,82,2277,61,2945,1,4300,2,1613,69,2176,29,2796,0,0,0,0,30,2092,22,2957,1,3750,0.0001677917419007,0.054531422788437,6,103,781.6650390625,25,189.724517822266,20.0,151.77961730957,33,250.436370849609,,,14.0,106.245727539063,,,29,220.080444335938,4.0,30.3559226989746,50,347.24,946,1.691590249042941,1.6913064617856302,10
48,Not an NIA or Emerging Neighbourhood,,Toronto W06,2,1853,204,2521,139,3194,2,6167,5,1525,257,2458,193,23232,3,5467,3,1633,315,2286,210,3178,6,4600,1,1650,246,2183,138,3104,4,4913,0.0003885059558912,0.1197633784575644,15,163,1350.00830078125,43,356.137145996094,21.0,173.927444458008,24,198.774230957031,,,16.0,132.516143798828,,,48,397.548461914063,7.0,57.9758148193359,39,379.84615384615387,983,0.5557651022603011,0.5555492680608684,8
49,Neighbourhood Improvement Area,NIA,Toronto W03,1,1500,2,2025,2,2723,1,3150,3,1508,8,2073,5,3010,0,0,3,1417,7,1878,2,2200,0,0,2,1428,6,1762,3,2375,1,2800,0.0001955036241181,0.0640990842708496,6,104,865.872924804688,29,241.445343017578,3.0,24.9771041870117,17,141.536926269531,,,10.0,83.2570114135742,,,34,283.073852539063,,,30,537.2666666666667,1321,1.018065378741896,1.017866382175313,11
