rank,model_type,cv_strategy,mean_f1_macro,std_f1_macro,mean_train_f1,fit_time_seconds,params
23,GradientBoosting,TimeSeriesSplit,0.7151,0.0627,0.8939,3.319,"{""subsample"": 1.0, ""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_depth"": 5, ""learning_rate"": 0.1}"
24,RandomForest,StratifiedKFold,0.7139,0.0285,0.7989,0.774,"{""n_estimators"": 500, ""min_samples_split"": 10, ""min_samples_leaf"": 8, ""max_features"": ""log2"", ""max_depth"": 10, ""class_weight"": ""balanced""}"
25,RandomForest,StratifiedKFold,0.7126,0.03,0.7864,0.301,"{""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 12, ""max_features"": ""log2"", ""max_depth"": 15, ""class_weight"": ""balanced""}"
26,XGBoost,TimeSeriesSplit,0.7121,0.0567,0.8764,2.398,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}"
27,GradientBoosting,TimeSeriesSplit,0.7109,0.0682,0.8948,4.554,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 8, ""learning_rate"": 0.1}"
28,GradientBoosting,TimeSeriesSplit,0.7106,0.0641,0.8949,3.064,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_samples_leaf"": 8, ""max_depth"": 5, ""learning_rate"": 0.1}"
29,XGBoost,TimeSeriesSplit,0.7101,0.0624,0.8947,1.668,"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""n_estimators"": 300, ""min_child_weight"": 3, ""max_depth"": 4, ""learning_rate"": 0.1, ""colsample_bytree"": 0.7}"
30,XGBoost,TimeSeriesSplit,0.7096,0.0618,0.8943,2.091,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 7, ""max_depth"": 6, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}"
31,XGBoost,TimeSeriesSplit,0.7091,0.0642,0.8938,2.117,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 500, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.6}"
32,GradientBoosting,TimeSeriesSplit,0.7086,0.0662,0.8614,2.606,"{""subsample"": 1.0, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 4, ""learning_rate"": 0.01}"
33,XGBoost,TimeSeriesSplit,0.7079,0.0631,0.8838,0.885,"{""subsample"": 0.7, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.9}"
34,GradientBoosting,TimeSeriesSplit,0.7076,0.0687,0.8945,2.184,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 4, ""learning_rate"": 0.1}"
35,XGBoost,TimeSeriesSplit,0.7072,0.0601,0.8699,1.694,"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.03, ""colsample_bytree"": 0.6}"
36,XGBoost,TimeSeriesSplit,0.7069,0.0622,0.8928,2.227,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 6, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
37,XGBoost,TimeSeriesSplit,0.7067,0.0668,0.8942,1.962,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.5, ""n_estimators"": 500, ""min_child_weight"": 3, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.6}"
38,RandomForest,StratifiedKFold,0.7066,0.0305,0.7837,1.773,"{""n_estimators"": 700, ""min_samples_split"": 2, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": null, ""class_weight"": ""balanced""}"
39,GradientBoosting,TimeSeriesSplit,0.7065,0.065,0.8943,5.108,"{""subsample"": 0.9, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 5, ""learning_rate"": 0.1}"
40,RandomForest,StratifiedKFold,0.7064,0.034,0.7767,1.21,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 8, ""class_weight"": ""balanced""}"
41,RandomForest,StratifiedKFold,0.7058,0.0305,0.776,1.392,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 12, ""max_features"": 0.5, ""max_depth"": 8, ""class_weight"": ""balanced_subsample""}"
42,RandomForest,TimeSeriesSplit,0.7049,0.0626,0.8557,1.109,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 10, ""class_weight"": ""balanced_subsample""}"
43,GradientBoosting,TimeSeriesSplit,0.7034,0.0645,0.8712,3.83,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 12, ""max_depth"": 4, ""learning_rate"": 0.01}"
44,GradientBoosting,TimeSeriesSplit,0.7018,0.0684,0.8944,2.037,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 5, ""learning_rate"": 0.03}"
