AREA_NAME,YEAR,CLASSIFICATION_CODE,area_sq_meters,perimeter_meters,park_count,ASSAULT_RATE,AUTOTHEFT_RATE,ROBBERY_RATE,THEFTOVER_RATE,POPULATION,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count,avg_rent_1br,TARGET_RENT_2YR,RENT_TIER,TARGET_TIER_2YR
Agincourt North,2010,,0.0008125087712081,0.1344575932789796,10.0,550.503845214844,109.1633529663085,107.903968811035,29.81642246246335,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1113.3333333333333,1272.75,1,2
Agincourt North,2011,,0.0008125087712081,0.1344575932789796,10.0,550.503845214844,109.1633529663085,107.903968811035,29.81642246246335,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1224.6666666666667,1318.25,2,1
Agincourt North,2012,,0.0008125087712081,0.1344575932789796,10.0,550.503845214844,109.1633529663085,107.903968811035,29.81642246246335,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1272.75,1301.5,2,1
Agincourt North,2013,,0.0008125087712081,0.1344575932789796,10.0,550.503845214844,109.1633529663085,107.903968811035,29.81642246246335,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1318.25,1342.25,1,1
Agincourt North,2014,,0.0008125087712081,0.1344575932789796,10.0,221.209716796875,56.1278381347656,118.858955383301,3.30163764953613,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1301.5,1492.1666666666667,1,1
Agincourt North,2015,,0.0008125087712081,0.1344575932789796,10.0,257.275543212891,96.8959884643555,123.625915527344,20.0474452972412,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1342.25,1644.8333333333333,1,1
Agincourt North,2016,,0.0008125087712081,0.1344575932789796,10.0,274.091644287109,60.1664619445801,50.1387176513672,16.7129058837891,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1492.1666666666667,1801.6666666666667,1,1
Agincourt North,2017,,0.0008125087712081,0.1344575932789796,10.0,252.993759155273,111.317253112793,74.2115020751953,37.1057510375977,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1644.8333333333333,1868.265625,1,1
Agincourt North,2018,,0.0008125087712081,0.1344575932789796,10.0,272.025573730469,142.813430786133,149.614059448242,13.6012783050537,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1801.6666666666667,1821.4798206278024,1,1
Agincourt North,2019,,0.0008125087712081,0.1344575932789796,10.0,277.920745849609,144.107055664063,126.951446533203,10.293360710144,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,1868.265625,1893.1666666666667,1,1
Agincourt South-Malvern West,2010,,0.0008806315876002,0.1661700776506951,15.0,550.503845214844,109.1633529663085,107.903968811035,29.81642246246335,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,1113.3333333333333,1272.75,1,2
